   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.766, 10.113
   0.153,  0.766, 10.113
   0.153,  0.766, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.266
   0.153,  0.613, 10.113
   0.153,  0.613, 10.113
